Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C7",0402,5,100nF,C466234
"C10, C8",0402,2,10pF,
"C11, C9",0603,2,22uF,C380323
"C20, C21, C22, C23, C24, C25, C26, C30, C31, C37, C5, C6",0402,12,1uF,C5359886
"C27, C29, C32, C33",0402,4,4.7uF,C380302
"D1, D2, D3",D_SOD-123,3,MBR0530,C82046
D4,0402,1,LED,C51933306
F1,0805,1,Fuse,C46640991
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C393939
J6,HCTL_JST_PH_HC-PH-2AWT-B_2P,1,LiPo,C19633668
L2,L_APV_ANR3015,1,47uH 500mA,C7427088
Q1,SOT-323_SC-70,1,Si1308EDL,C7603347
"R1, R2",0402,2,1.5k,C114451
R12,0402,1,2.2R,C2906922
"R13, R3, R4",0402,3,100k,C481918
"R5, R6",0402,2,5.1k,C105872
"SW1, SW2",SW_Push_SPST_TSA016,2,SW_Push,C2888428
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm_ThermalVias,1,STM32U073CCUx,C22455185
U2,HCTL_HC-FPC-05-09-24RLTAG-1MP_P0.5mm_Horizontal,1,"Conn_Eink_1.9""_Generic",C5213757
U3,SOT-23-6,1,SRV05-4,C2836319
U4,TSOT-23-6,1,TP4057,C5380673
U5,SOT-23-5,1,HE9073A33M5R,C723789
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768kHz,C99009
