Designator,Mid X,Mid Y,Rotation,Layer
C1,133.32,-77.2,0.0,top
C10,137.6,-111.3,180.0,top
C11,142.14375,-92.85,90.0,top
C2,143.982763,-100.231579,270.0,top
C20,136.26,-127.485,90.0,top
C21,141.26,-126.26,90.0,top
C22,140.335,-126.26,90.0,top
C23,143.11,-126.485,90.0,top
C24,144.96,-126.585,90.0,top
C25,146.81,-126.585,90.0,top
C26,145.885,-126.585,90.0,top
C27,135.71,-120.36,180.0,top
C29,133.66,-119.885,90.0,top
C3,140.4,-108.2,180.0,top
C30,137.185,-127.485,90.0,top
C31,144.035,-126.585,90.0,top
C32,144.9,-100.23,270.0,top
C33,141.91,-87.815,270.0,top
C37,142.185,-126.485,90.0,top
C4,134.8,-105.98,90.0,top
C5,140.4,-109.125,180.0,top
C6,147.51,-87.535,45.0,top
C7,136.52,-98.51,0.0,top
C8,135.18,-111.3,0.0,top
C9,147.74375,-93.45,90.0,top
D1,138.985,-121.785,0.0,top
D2,138.985,-119.47,180.0,top
D3,138.985,-124.085,180.0,top
D4,147.51,-89.535,0.0,top
D5,139.75,-90.0625,180.0,top
F1,146.51,-75.735,270.0,top
J2,140.16,-72.135,180.0,top
J6,143.77,-82.135,270.0,top
L2,134.835,-122.585,0.0,top
Q1,134.635,-126.96,90.0,top
Q2,139.75,-86.9625,270.0,top
R1,146.6,-90.485,0.0,top
R12,135.91,-125.76,0.0,top
R13,133.835,-125.285,270.0,top
R2,143.35,-90.4675,180.0,top
R3,148.0,-91.0,270.0,top
R4,134.99,-94.56,0.0,top
R5,141.91,-78.435,270.0,top
R6,137.16,-77.925,180.0,top
R7,148.41,-76.7,0.0,top
SW1,133.9,-80.5,270.0,top
SW2,133.9,-86.0,90.0,top
U1,139.4,-103.1,180.0,top
U2,140.16,-130.485,0.0,top
U3,139.66,-80.275,270.0,top
U4,144.45,-88.2875,0.0,top
U5,144.94375,-92.65,0.0,top
Y1,136.4,-109.7,180.0,top
